Ingresos;Gastos;Producto_FK;Pais_FK;fecha
66319,70378;56708,15251;7;AGO;1/1/2017
130447,0207;86964,68044;1;AGO;1/1/2017
122357,2829;77039,77074;3;AGO;1/1/2017
44777,55887;28193,2778;2;AGO;1/1/2017
265278,8151;215226,2085;5;AGO;1/1/2017
394602,2375;326567,369;4;AGO;1/1/2017
81152,13111;69217,99418;6;AGO;1/1/2017
88128,95446;73914,60697;7;ARG;1/1/2017
135405,1283;73857,3427;3;ARG;1/1/2017
464439,59;417526,5001;5;ARG;1/1/2017
232219,795;146212,4635;1;ARG;1/1/2017
566389,7439;493775,6742;4;ARG;1/1/2017
152275,2754;131971,9054;6;ARG;1/1/2017
62932,19377;35570,37039;2;ARG;1/1/2017
419500,7374;343227,876;7;BRA;1/1/2017
746952,7518;459663,2319;3;BRA;1/1/2017
1648038,611;1478137,723;5;BRA;1/1/2017
771943,7361;496249,5446;1;BRA;1/1/2017
3146255,53;2784616,964;4;BRA;1/1/2017
521740,8668;443869,0957;6;BRA;1/1/2017
290423,5874;178722,2076;2;BRA;1/1/2017
54365,02453;39867,68465;7;AUS;1/1/2017
87845,92378;43124,36258;3;AUS;1/1/2017
246268,9145;197809,5475;5;AUS;1/1/2017
114794,6733;65050,31487;1;AUS;1/1/2017
313189,8152;252509,2885;4;AUS;1/1/2017
92647,791;70749,22222;6;AUS;1/1/2017
36987,75738;19973,38899;2;AUS;1/1/2017
21115,39872;18300,01222;7;AUT;1/1/2017
31740,77564;17940,43841;3;AUT;1/1/2017
71761,75362;61510,07453;5;AUT;1/1/2017
47157,72381;27508,67222;1;AUT;1/1/2017
125355,9747;108183,9234;4;AUT;1/1/2017
25327,67775;21905,01859;6;AUT;1/1/2017
15744,23211;9913,035035;2;AUT;1/1/2017
33098,74052;29501,05133;7;BEL;1/1/2017
60964,95956;35562,89308;3;BEL;1/1/2017
165824,69;142135,4486;5;BEL;1/1/2017
60519,95985;38905,68848;1;BEL;1/1/2017
301499,4364;267238,1368;4;BEL;1/1/2017
45934,81717;38643,57635;6;BEL;1/1/2017
21563,6788;12938,20728;2;BEL;1/1/2017
986432,958;878033,7318;7;CAN;1/1/2017
1559476,382;1021725,905;3;CAN;1/1/2017
4496490,233;3771249,873;5;CAN;1/1/2017
2043859,197;1286874,309;1;CAN;1/1/2017
6131577,591;5499456,19;4;CAN;1/1/2017
1419944,284;1198077,99;6;CAN;1/1/2017
840465,4642;458435,7077;2;CAN;1/1/2017
16629,95817;13712,42165;7;CHE;1/1/2017
28586,13725;17591,46908;3;CHE;1/1/2017
93057;82601,1573;5;CHE;1/1/2017
30800,55634;17966,9912;1;CHE;1/1/2017
98284,92135;88046,90871;4;CHE;1/1/2017
25879,7574;21637,17422;6;CHE;1/1/2017
13689,13615;8619,085724;2;CHE;1/1/2017
42928,91758;38548,41579;7;CHL;1/1/2017
72120,58154;47251,41549;3;CHL;1/1/2017
187513,512;164646,0105;5;CHL;1/1/2017
93383,22311;57466,59884;1;CHL;1/1/2017
404123,9483;345555,2601;4;CHL;1/1/2017
75610,2871;60488,22968;6;CHL;1/1/2017
33389,15812;21464,45879;2;CHL;1/1/2017
3076128,817;2906941,732;7;CHN;1/1/2017
4370407,787;2676874,77;3;CHN;1/1/2017
10605115,42;9215479,602;5;CHN;1/1/2017
5766279,468;3422161,51;1;CHN;1/1/2017
17039679,81;14859178,41;4;CHN;1/1/2017
4460386,781;4119140,322;6;CHN;1/1/2017
1951777,994;1158337,809;2;CHN;1/1/2017
55838,48785;50198,23656;7;CMR;1/1/2017
80186,6657;53457,77713;3;CMR;1/1/2017
213831,1085;176316,879;5;CMR;1/1/2017
119931,3609;71958,81652;1;CMR;1/1/2017
540866,9216;460140,5154;4;CMR;1/1/2017
87016,44479;75715,60781;6;CMR;1/1/2017
38851,00423;21959,26326;2;CMR;1/1/2017
110701,5956;86636,03135;7;COL;1/1/2017
208135,5843;113528,5005;3;COL;1/1/2017
463101,675;389593,4726;5;COL;1/1/2017
237488,0385;149529,5057;1;COL;1/1/2017
992360,7321;837304,3677;4;COL;1/1/2017
184625,2525;154358,8177;6;COL;1/1/2017
84584,78082;56389,85388;2;COL;1/1/2017
10789,54433;9577,235978;7;CRI;1/1/2017
16051,92945;10701,2863;3;CRI;1/1/2017
35841,97945;31814,79075;5;CRI;1/1/2017
17738,74237;10643,24542;1;CRI;1/1/2017
88693,71186;75048,52542;4;CRI;1/1/2017
15390,96765;12373,13085;6;CRI;1/1/2017
6717,495507;4133,843389;2;CRI;1/1/2017
19938,29314;16377,88365;7;CZE;1/1/2017
35235,21311;22185,13418;3;CZE;1/1/2017
109660,6122;96448,49029;5;CZE;1/1/2017
48848,81818;32004,39812;1;CZE;1/1/2017
195395,2727;152918,0395;4;CZE;1/1/2017
34225,28662;30051,47118;6;CZE;1/1/2017
17277,71704;11518,47803;2;CZE;1/1/2017
1026702,586;801450,2609;7;DEU;1/1/2017
1370898,009;743712,1697;3;DEU;1/1/2017
4389389,037;3353851,542;5;DEU;1/1/2017
2345310,809;1547905,134;1;DEU;1/1/2017
5695754,821;4192075,549;4;DEU;1/1/2017
1265723,294;1079029,108;6;DEU;1/1/2017
679607,1094;329918,3604;2;DEU;1/1/2017
23398,26598;22395,48315;7;DOM;1/1/2017
41568,34799;26079,62006;3;DOM;1/1/2017
96170,83898;89948,01999;5;DOM;1/1/2017
49772,62719;35725,68574;1;DOM;1/1/2017
113481,59;92574,78938;4;DOM;1/1/2017
36844,67208;36402,53601;6;DOM;1/1/2017
18757,2876;12035,92621;2;DOM;1/1/2017
98911,30769;81087,08633;7;DZA;1/1/2017
133149,8373;93299,99312;3;DZA;1/1/2017
351598,7891;299929,054;5;DZA;1/1/2017
152558,1186;86542,06003;1;DZA;1/1/2017
661833,0147;626108,2649;4;DZA;1/1/2017
133149,8373;122117,4222;6;DZA;1/1/2017
69237,91538;45164,4248;2;DZA;1/1/2017
32386,53526;27598,40828;7;ECU;1/1/2017
57219,66134;40462,47481;3;ECU;1/1/2017
192578;171246,2831;5;ECU;1/1/2017
62621,51748;43765,48277;1;ECU;1/1/2017
235654,6579;213945,8652;4;ECU;1/1/2017
56676,43671;55009,48269;6;ECU;1/1/2017
26972,52108;16345,34778;2;ECU;1/1/2017
197689,5676;178744,3173;7;EGY;1/1/2017
344791,9057;229154,005;3;EGY;1/1/2017
975268,5333;874365,7505;5;EGY;1/1/2017
386427,1547;238940,7907;1;EGY;1/1/2017
1280039,95;1297327,087;4;EGY;1/1/2017
298551,5918;287182,506;6;EGY;1/1/2017
159506,5358;105028,919;2;EGY;1/1/2017
92850,03626;92720,47807;7;ESP;1/1/2017
155940,4455;108438,5867;3;ESP;1/1/2017
540593,5444;500049,0286;5;ESP;1/1/2017
170713,7509;94047,7573;1;ESP;1/1/2017
501581,6392;441584,7585;4;ESP;1/1/2017
132932,8388;129057,1912;6;ESP;1/1/2017
74736,43472;44841,86083;2;ESP;1/1/2017
18661,79039;19146,99694;7;FIN;1/1/2017
33387,10938;19437,10411;3;FIN;1/1/2017
61935,50725;60298,13177;5;FIN;1/1/2017
29472,75862;18567,83793;1;FIN;1/1/2017
152626,7857;129133,1626;4;FIN;1/1/2017
21475,12563;18790,73492;6;FIN;1/1/2017
13545,32488;8794,785941;2;FIN;1/1/2017
150547,1377;141077,2371;7;FRA;1/1/2017
264215,2785;157208,0907;3;FRA;1/1/2017
703001,3661;691637,7823;5;FRA;1/1/2017
285275,9167;195783,805;1;FRA;1/1/2017
874846,1444;765888,0337;4;FRA;1/1/2017
208849,2122;194096,4593;6;FRA;1/1/2017
103464,0644;72424,84507;2;FRA;1/1/2017
145897,2754;142909,2263;7;GBR;1/1/2017
236644,378;166503,7853;3;GBR;1/1/2017
533825,6899;461686,6215;5;GBR;1/1/2017
234229,6395;136969,5293;1;GBR;1/1/2017
1059438,677;1046329,998;4;GBR;1/1/2017
182661,8408;160791,282;6;GBR;1/1/2017
97402,42433;56337,2408;2;GBR;1/1/2017
33644,90349;30646,12689;7;GRC;1/1/2017
55542,60339;40855,03227;3;GRC;1/1/2017
126038,9846;115692,6668;5;GRC;1/1/2017
68271,11667;52011,29085;1;GRC;1/1/2017
273084,4667;265926,0125;4;GRC;1/1/2017
41376,43434;42016,38986;6;GRC;1/1/2017
20793,2335;12027,94043;2;GRC;1/1/2017
40241,16376;43044,3461;7;GTM;1/1/2017
63553,28621;45749,18615;3;GTM;1/1/2017
141772,7154;138207,4802;5;GTM;1/1/2017
77438,87815;55270,70863;1;GTM;1/1/2017
209436,9659;213751,3674;4;GTM;1/1/2017
53576,89826;50368,98147;6;GTM;1/1/2017
28224,27718;21947,19794;2;GTM;1/1/2017
19855,02115;20187,27549;7;HUN;1/1/2017
32569,75079;23867,95778;3;HUN;1/1/2017
76478,6;71818,67114;5;HUN;1/1/2017
38098,19557;25116,98083;1;HUN;1/1/2017
125909,8902;121896,7748;4;HUN;1/1/2017
30912,00898;29476,41892;6;HUN;1/1/2017
15596,08912;10085,84905;2;HUN;1/1/2017
